,precision,recall,f1-score,support
happy,0.0,0.0,0.0,0.0
joy,0.0,0.0,0.0,7.0
fear,0.0,0.0,0.0,8.0
anger,0.0,0.0,0.0,13.0
enthusiasm,0.0,0.0,0.0,6.0
sad,0.0,0.0,0.0,3.0
relief,0.0,0.0,0.0,6.0
sympathy,0.0,0.0,0.0,3.0
surprise,0.0,0.0,0.0,6.0
disgust,0.0,0.0,0.0,9.0
unemotional,0.34408602150537637,1.0,0.512,32.0
accuracy,0.34408602150537637,0.34408602150537637,0.34408602150537637,0.34408602150537637
macro avg,0.03128054740957967,0.09090909090909091,0.04654545454545455,93.0
weighted avg,0.11839519019539832,0.34408602150537637,0.1761720430107527,93.0
